SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
ASB7,ENSG00000183475,,,140460,,Hs.31845,A0A024RCD9
TRAJ34,,,,28721,,,
LNPEP,ENSG00000113441,,,4012,,Hs.527199,Q9UIQ6
GZMH,ENSG00000100450,,,2999,IPI00025400,Hs.348264,P20718
ZFPM2,ENSG00000169946,,,23414,,Hs.431009,Q8WW38
LMLN2,ENSG00000283654,ENSP00000489869,ENST00000637218,100128908,,Hs.578287,
SLC12A1,ENSG00000074803,,,6557,IPI00443898,Hs.123116,Q13621
TMX1,ENSG00000139921,,,81542,,Hs.125221,Q9H3N1
OR6A2,ENSG00000184933,ENSP00000492990,ENST00000641196,8590,IPI00029412,Hs.652252,A0A126GW91
ZNF474,ENSG00000164185,ENSP00000296600,ENST00000296600,133923,,Hs.729673,Q6S9Z5
ZNF776,ENSG00000152443,,,284309,,Hs.720254,B4DSC6
unassigned,,,,,,,
C20orf78,ENSG00000149443,,,100128496,,Hs.664484,Q9BR46
ERN1,ENSG00000178607,,,2081,,Hs.133982,O75460
FKBP14,ENSG00000106080,,,55033,,Hs.390838,A0A090N7V8
BBS9,ENSG00000122507,,,27241,,Hs.372360,Q3SYG4
LINC01556,ENSG00000237634,ENSP00000396675,ENST00000438996,729583,,Hs.453549,
SEMA3G,ENSG00000010319,ENSP00000231721,ENST00000231721,56920,,Hs.59729,Q9NS98
TSPAN7,ENSG00000156298,,,7102,,Hs.441664,P41732
TMOD1,ENSG00000136842,,,7111,,Hs.404289,P28289
ZNF81,ENSG00000197779,,,347344,,Hs.114246,P51508
DSC3,ENSG00000134762,,,1825,,Hs.41690,Q14574
NSFL1C,ENSG00000088833,,,55968,,Hs.12865,Q53FE8
GAGE12J,ENSG00000224659,ENSP00000409832,ENST00000442437,729396,,Hs.645554,
FAM46A,,,,,,,
RINT1,ENSG00000135249,ENSP00000257700,ENST00000257700,60561,,Hs.531388,Q6NUQ1
SECISBP2,ENSG00000187742,,,79048,,Hs.59804,B4DZC7
DMPK,ENSG00000104936,,,1760,,Hs.631596,E5KR07
NF2,ENSG00000186575,,,4771,,Hs.187898,A0A024R1J8
SNX6,ENSG00000129515,,,58533,,Hs.276523,Q9UNH7
MRAS,ENSG00000158186,,,22808,,Hs.527021,O14807
unassigned,,,,,,,
SIRPA,ENSG00000198053,,,140885,,Hs.581021,P78324
INTU,ENSG00000164066,,,27152,,Hs.391481,Q9ULD6
FXYD2,ENSG00000137731,,,486,IPI00219895,Hs.731865,P54710
NOD1,ENSG00000106100,,,10392,,Hs.405153,A0A024RA73
COMMD6,ENSG00000188243,,,170622,,Hs.508266,Q7Z4G1
ABHD14A-ACY1,ENSG00000114786,,,100526760,,Hs.334707,B4DNW0
EVX2,ENSG00000174279,ENSP00000312385,ENST00000308618,344191,,Hs.452341,Q03828
FAM103A1,,,,,,,
SHISA7,ENSG00000187902,,,729956,IPI00917604,Hs.6664,A6NL88
OCR1,,,,,,,
C22orf42,ENSG00000205856,ENSP00000371529,ENST00000382097,150297,,Hs.426551,Q6IC83
SLC2A12,ENSG00000146411,ENSP00000275230,ENST00000275230,154091,,Hs.486508,Q8TD20
LEMD3,ENSG00000174106,ENSP00000308369,ENST00000308330,23592,,Hs.744150,Q9Y2U8
GDPD2,ENSG00000130055,,,54857,,Hs.438712,Q9HCC8
ERVW-1,ENSG00000242950,ENSP00000474984,ENST00000604270,30816,,,D0EYG5
TRIM63,ENSG00000158022,ENSP00000363390,ENST00000374272,84676,,Hs.279709,Q969Q1
TLE7,ENSG00000260734,ENSP00000492311,ENST00000561754,102723796,,,
