"SYMBOL","ENTREZID","UNIPROT"
"yaiO",945014,"Q47534"
"yhhA",947956,"P0ADX7"
"baeS",946611,"P30847"
"gpmA",945068,"B1X786"
"fdhD",948393,"C5A063"
"zraR",948505,"P14375"
"phnN",948608,"P16690"
"rutD",946586,"P75895"
"zntR",947786,"P0ACS5"
"ompG",945889,"P76045"
"cusR",945003,"P0ACZ8"
"nrdF",947149,"P37146"
"rbsB",948261,"P02925"
"dksA",944850,"P0ABS1"
"yjhH",948825,"P39359"
"mmuM",946143,"Q47690"
"yhhL",947976,"P37614"
"asnC",948259,"P0ACI6"
"murE",944791,"P22188"
"chpS",948739,"P08365"
"yniD",1450269,"Q2EES1"
"rclA",946092,"P77212"
"tfaS",946825,"P77326"
"guaC",948986,"B1XC80"
"yfjX",947126,"P52139"
"glcA",947259,"Q46839"
"ynjH",946279,"P76227"
"atpH",948254,"C4ZZ13"
"dnaJ",944753,"B1XBE0"
"essQ",946093,"P77237"
"aldA",945672,"P25553"
"sapA",945873,"Q47622"
"artP",945489,"P0AAF6"
"yagK",945847,"P77657"
"mepA",946812,"P0C0T5"
"flgG",945647,"P0ABX5"
"frdD",948668,"B1XDQ6"
"ydhX",947308,"P77375"
"yiiE",948386,"P0ADQ5"
"topB",946141,"P14294"
"fliY",948833,"P0AEM9"
"acnA",946724,"P25516"
"mutT",944824,"P08337"
"mlc",945510,"P50456"
"yecS",949105,"P0AFT2"
"yiaM",948093,"P37674"
"ybeU",945244,"P77427"
"eutG",946233,"P76553"
"paaX",945966,"P76086"
"nsrR",948693,"B1XDS9"
"allD",948342,"P77555"
"hybF",948004,"P0A703"
"gloB",944902,"P0AC84"
"ydeO",945922,"P76135"
"pepT",946333,"B1XA37"
"ypeA",946917,"P76539"
"hemD",948587,"P09126"
"nuoN",945136,"P0AFF0"
"nth",947122,"P0AB83"
"hyfD",947290,"P77416"
"ydfB",946176,"P29009"
"yncG",946023,"P76117"
"atpF",948247,"P0ABA0"
"mntP",946341,"B1XH88"
"hupA",948499,"P0ACF0"
"apbE",946711,"P0AB85"
"slyX",947849,"C4ZUK3"
"amtB",945084,"P69681"
"rcsB",947441,"P0DMC7"
"ydjF",946272,"P77721"
"mutY",947447,"P17802"
"phoR",945044,"P08400"
"ycaC",945512,"P21367"
"yqeF",947324,"Q46939"
"yegS",946626,"B1X7I0"
"panE",945065,"P0A9J4"
"phnA",,"P0AFJ1"
"obgE",947694,"P42641"
"qmcA",947257,"P0AA53"
"ybjO",945488,"P0AAZ0"
"sdhE",947382,"P64559"
"lsrA",945680,"B1XEA1"
"ycfZ",945685,"P75961"
"clpX",945083,"B1XFM6"
"prmB",946805,"P39199"
"yfjQ",947127,"P52132"
"nudF",947519,"Q93K97"
"insA1",,"P0CF07"
"lacZ",945006,"P00722"
"ynbA",945973,"P76090"
"yedF",946909,"P0AA31"
"nanE",947745,"P0A761"
"sbmA",946884,"P0AFY6"
"ycjR",947427,"P76044"
"cobB",945687,"P75960"
"insH11",,"P0CE58"
"glnH",944872,"P0AEQ3"
"opgE",945360,"P75785"
"yqiG",947529,"P76655"
"rfbX",,"P37746"
"pspE",945652,"P23857"
"wecE",948296,"P27833"
"htrL",,"P25666"
"yjfN",948709,"P0AF82"
"gspJ",947832,"P45761"
"yidP",948194,"P31453"
"ispE",945774,"C4ZTP9"
"ygdR",947304,"P65294"
"yifN",2847676,"P56259"
"yedD",949082,"P31063"
"gyrB",948211,"P0AES6"
"insD6",,"P0CF58"
"ybiO",945935,"P75783"
"yfjI",944764,"P52124"
"anmK",946810,"B1XFV2"
"sspA",944744,"P0ACA3"
"yagT",,
"rhlB",948290,"B1X9Z4"
