FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0035227,FBgn0035227,FBpp0305594,FBtr0333402,38176,Iml1,Dm.810,M9PE64
FBgn0000146,FBgn0000146,FBpp0111705,FBtr0112793,34524,aub,Dm.3112,O76922
FBgn0026086,FBgn0026086,FBpp0070286,FBtr0070299,31130,Adar,Dm.19,Q2PE36
CG43397,,,,,,,
FBgn0052150,FBgn0052150,FBpp0297748,FBtr0306853,39727,meru,,Q9VUU9
FBgn0040670,FBgn0040670,FBpp0311218,FBtr0344948,50143,e(y)2b,Dm.27491,A0A0B4LGS3
FBgn0031753,FBgn0031753,FBpp0078781,FBtr0079150,33826,CG13999,Dm.26739,Q9VMK8
FBgn0038435,FBgn0038435,FBpp0110262,FBtr0110962,42001,Gyc89Da,Dm.24070,B7Z0S6
FBgn0261681,FBgn0261681,FBpp0292195,FBtr0303076,10178859,CG42728,Dm.38297,F3YDE6
FBgn0038312,FBgn0038312,FBpp0288457,FBtr0290018,41847,Zip88E,Dm.18952,Q9VFA2
FBgn0262955,FBgn0262955,FBpp0310926,FBtr0344600,41721,RpII140,Dm.6926,A0A0B4LI86
FBgn0033028,FBgn0033028,FBpp0311514,FBtr0345359,35499,CG11665,Dm.13241,Q7JWI7
FBgn0033770,FBgn0033770,FBpp0111989,FBtr0113076,36401,wuc,Dm.19919,A1Z949
FBgn0033980,FBgn0033980,FBpp0289404,FBtr0300127,36664,Cyp6a20,,Q9V773
FBgn0259715,FBgn0259715,FBpp0289245,FBtr0299968,33894,CG42369,Dm.11693,Q9VME1
FBgn0284232,,,,30522405,CG46316,,A0A1Z1CK60
FBgn0039207,FBgn0039207,FBpp0088845,FBtr0089906,42928,CG5789,Dm.31340,Q9VC63
Dmel_CG33960,,,,,,,
FBgn0038003,FBgn0038003,FBpp0082032,FBtr0082560,41484,CG3916,Dm.27266,Q9VGB8
FBgn0020391,FBgn0020391,FBpp0086841,FBtr0087728,36445,Nrk,Dm.4822,Q9V6K3
FBgn0026384,,,,37711,Or59a,Dm.27013,P81923
FBgn0034476,FBgn0034476,FBpp0085638,FBtr0086336,37272,Toll-7,Dm.2660,Q7KIN0
FBgn0034999,FBgn0034999,FBpp0072175,FBtr0072268,37887,CG3394,Dm.7883,Q9W185
FBgn0038122,FBgn0038122,FBpp0082200,FBtr0082732,41619,CG8138,Dm.16921,Q9VFY6
FBgn0029890,FBgn0029890,FBpp0070916,FBtr0070955,31606,CG4095,Dm.19451,Q9W3X5
FBgn0033649,FBgn0033649,FBpp0111983,FBtr0113070,36255,pyr,,B9ZW35
